ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,INV,INVBAL,MM,MMBAL,MMCRED,CC,CCBAL,CCPURC,SDB,INCOME,LORES,HMVAL,AGE,CRSCORE,INAREA,INS,BRANCH
1.3,1,3607.87,1,322.44,0,1,0,0,0,0,0,0,1,28.88,0,0,0,0,0,0,0,0,0,0,0,1,28961.49,0,0,,,,,618,1,0,B2
,1,1742.31,5,4686.26,14,1,0,0,2,0,1,330.84,1,3147.87,0,0,0,0,0,0,0,0,0,0,0,1,5840.18,1,0,,,,,675,1,0,B4
2,1,105.08,2,258.7,0,0,0,0,0,0,1,4.14,1,333.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10,110,57,660,1,0,B1
0.5,1,1322.03,6,5063.54,10,0,0,0,5,3,1,0,1,2880.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,657,1,0,B2
26.3,1,1297.25,1,1298.08,10,0,0,0,0,5,0,0,0,0,0,0,1,16100,0,0,0,0,0,0,0,1,379.4,0,0,,,,,688,1,0,B2
,1,3463.85,5,12497.31,15,1,0,0,0,0,1,885.17,1,10834.5,1,319.08,0,0,0,0,0,0,0,0,0,1,330757.22,0,0,105,7.5,138,44,635,1,1,B7
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,299.03,0,0,,,,,643,1,0,B2
1.6,1,38.61,1,415.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,685,1,0,B2
0.4,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,,,,0,35,8.5,102,63,716,1,0,B15
4.6,1,2412.52,2,1057.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.97,0,0,31,5,119,46,725,1,0,B5
2.6,1,2140.38,2,1008.18,4,1,0,0,0,1,1,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,5,100,35,669,1,0,B5
4.4,1,1858.79,4,10606.5,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,0,0,,,,,694,1,0,B2
1.7,1,2015.64,1,265.17,2,0,0,0,0,1,1,272.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.26,0,0,51,5.5,126,49,650,1,0,B7
4.1,1,1558.7,4,6029.57,5,0,0,0,0,2,1,128.99,1,5261.03,0,0,0,0,0,0,0,0,1,16191.75,0,1,31380.64,1,0,40,7,98,70,697,1,0,B5
3.6,0,0,0,0,0,0,0,0,0,0,1,1680.65,1,138.54,0,0,1,4900,0,0,0,0,0,0,0,0,0,0,0,17,4,103,30,630,1,0,B5
0.6,1,2481.16,2,2449.5,2,0,0,0,,1,1,947.28,1,4020.97,,,0,0,0,0,,,0,0,0,,,,0,47,4,124,42,713,1,0,B14
4.8,1,277.99,3,4623.4,1,0,0,0,0,3,1,49.95,1,3854.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,604,1,0,B10
0.4,1,1761.99,3,3581.8,12,0,0,0,,0,1,2477.32,1,3020.45,,,0,0,0,0,,,0,0,0,,,,0,20,6,125,45,618,1,0,B14
5.3,1,1685.87,2,2498.72,3,1,0,0,0,0,0,0,1,201.1,6,559.95,0,0,0,0,0,0,0,0,0,1,5449.54,0,0,32,4.5,119,51,609,1,1,B17
1.7,1,2950.55,5,11408.68,14,0,1,15.52,2,3,0,0,1,5192.29,5,348.66,0,0,0,0,0,0,0,0,0,1,842499.74,1,0,25,10,113,77,686,1,0,B16
6.5,1,147.2,0,0,0,0,0,0,0,0,0,0,0,0,1,20.1,0,0,0,0,0,0,1,15138.86,1,1,264.36,1,0,67,6,134,66,676,1,1,B6
4.2,1,973.04,1,1137.22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328153.72,0,0,,,,,609,1,0,B2
2.2,1,1518.36,2,1649.35,8,1,0,0,1,0,1,180.93,1,160.86,6,92.42,0,0,0,0,0,0,1,16147.33,2,1,606,0,0,34,7,120,43,591,1,0,B4
3.8,1,1189.91,2,1391.57,9,1,0,0,0,1,1,7529.41,1,834.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,700,1,0,B7
0.5,1,2058.38,1,622.54,1,0,0,0,0,2,1,390.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,98,68,664,1,0,B6
0.6,1,409.89,4,1214.21,4,0,0,0,0,0,0,0,1,1344.08,21,468.11,0,0,0,0,0,0,0,0,0,0,0,0,1,73,5,129,39,617,1,0,B4
7.2,1,3552.55,1,277.08,5,1,0,0,0,1,0,0,1,90.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2.5,129,45,641,1,0,B13
19.3,1,3552.07,2,5375.26,9,0,0,0,0,3,1,615.55,0,0,0,0,0,0,0,0,0,0,1,17538.98,0,1,336.99,0,1,,,,,750,1,1,B17
2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3883.64,0,0,0,0,0,1,2868.8,0,1,,,,,638,0,1,B2
3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,618,1,0,B2
16.7,1,11389.84,2,784.68,0,1,0,0,0,0,1,3838.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6.5,116,43,752,1,1,B3
6.5,1,736.89,3,2036.8,3,0,1,7.28,0,1,0,0,1,1544.77,3,61.18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.5,97,50,722,1,0,B4
7.6,1,1418.01,4,881.6,5,1,0,0,1,0,1,9531.44,1,452.04,4,199.43,0,0,0,0,0,0,0,0,0,1,530.58,0,0,34,3.5,102,31,589,1,1,B4
3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153.99,0,0,39,3,119,28,663,1,0,B1
4.8,1,3009.95,2,1593.21,5,0,0,0,0,0,0,0,1,2071.67,0,0,0,0,0,0,0,0,1,17383.91,1,1,29024.38,1,0,5,6.5,94,63,722,1,0,B3
3.8,1,617.95,3,3141.13,16,0,0,0,1,8,0,0,1,3428.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,620,1,0,B2
1.4,0,0,0,0,0,0,0,0,,0,1,2528.98,1,1407.13,,,0,0,0,0,,,0,0,0,,,,0,44,9.5,104,54,660,1,1,B19
21.3,1,5580.35,3,2124.68,11,1,0,0,0,3,1,6565.61,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.45,0,0,,,,,677,1,0,B11
2.1,0,0,0,0,0,0,0,0,0,0,1,63.18,1,1463.67,2,76.47,0,0,0,0,1,5103.61,0,0,0,0,0,0,0,1,9,75,59,707,1,0,B4
8.8,1,776.49,3,2005.34,4,0,0,0,0,2,1,416.06,1,1652.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9.5,106,63,714,1,1,B4
2.2,1,1628.59,2,2501.33,2,1,0,0,0,0,1,1366.29,1,3531.73,4,160.98,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9.5,93,58,659,1,0,B2
10.2,1,1987.52,0,0,0,0,0,0,0,0,1,24328.02,0,0,0,0,1,80000,0,0,0,0,0,0,0,1,502.96,0,0,38,7.5,116,29,581,1,1,B8
6.5,1,10536.04,1,93.32,1,0,0,0,0,0,0,0,1,225.23,0,0,0,0,0,0,0,0,0,0,0,1,118.26,0,0,60,3,130,37,649,1,0,B3
4.5,1,1268.25,5,5531.02,17,0,0,0,,11,1,6188.78,0,0,,,0,0,0,0,,,0,0,0,,,,1,20,9.5,88,38,608,1,0,B14
41.3,0,0,0,0,0,0,0,0,0,0,1,6052.06,0,0,0,0,1,59800,0,0,0,0,0,0,0,1,349.79,0,0,40,7,109,61,698,1,0,B17
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8800,0,0,0,0,0,0,0,1,2792.85,0,0,57,10.5,121,51,656,1,0,B4
0.4,1,129.61,2,337.77,2,0,0,0,,1,0,0,1,27.84,,,0,0,0,0,,,0,0,0,,,,0,95,4.5,132,32,707,1,0,B18
3.9,1,4450.75,2,3145.74,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61001.82,0,0,15,3,108,40,682,1,0,B6
3.8,1,15.15,4,1437.71,2,0,0,0,3,2,0,0,1,910.95,6,138.58,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,97,50,647,1,1,B10
14.8,1,168.33,2,433.05,3,1,0,0,0,1,1,1585.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,714,1,1,B5
4.6,0,0,0,0,0,0,0,0,,0,1,657.87,1,276.09,,,0,0,0,0,,,0,0,0,,,,0,35,5.5,104,17,609,1,0,B15
1.9,1,1482.16,2,1095.82,6,1,0,0,,3,0,0,1,39.96,,,0,0,0,0,,,0,0,0,,,,0,87,2.5,153,38,727,1,0,B15
3,1,79.03,7,2146.49,5,1,0,0,3,0,1,25746.85,1,5569.28,0,0,0,0,0,0,0,0,0,0,0,1,715.14,0,0,28,8,111,58,662,1,1,B1
3.9,1,3688.44,2,1000.67,3,0,0,0,,2,1,4807.77,0,0,,,0,0,0,0,,,0,0,0,,,,1,37,5,115,45,660,1,1,B15
2.1,1,2176.74,3,783.51,0,0,0,0,,1,0,0,1,180.37,,,0,0,0,0,,,0,0,0,,,,0,94,14,129,29,643,1,1,B15
22.5,1,705.34,6,3668.51,18,1,0,0,,0,1,2689.37,1,0,,,0,0,0,0,,,0,0,0,,,,0,23,5.5,111,54,644,1,0,B19
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16000,0,0,0,0,1,15075.65,0,0,0,0,1,24,7,106,35,620,1,1,B7
,1,861.6,2,2210.53,16,0,0,0,0,0,0,0,1,2022.26,0,0,0,0,0,0,0,0,0,0,0,1,257.58,0,0,18,3.5,110,42,626,1,1,B2
3.5,1,35.43,2,855.68,4,0,0,0,0,2,0,0,1,166.48,3,84.47,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10,122,42,681,1,0,B2
3.6,0,0,0,0,0,0,0,0,,0,1,6689.36,1,4455.52,,,0,0,0,0,,,0,0,0,,,,0,,,,,710,1,0,B14
1.5,1,-6.32,1,648.31,2,0,1,30.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.5,93,56,671,1,0,B7
,1,3488.73,3,1690.77,3,0,0,0,0,0,1,2880.26,1,2572.03,2,86.01,0,0,0,0,0,0,0,0,0,0,0,0,0,57,13,118,50,684,1,0,B3
2.3,1,11866.35,2,3180.32,3,0,0,0,0,1,1,2439.41,1,7959.27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,105,7.5,151,58,717,1,0,B16
4.1,1,4065.8,2,1533.09,9,0,0,0,0,1,0,0,1,1941.82,0,0,0,0,0,0,0,0,0,0,0,1,6477.97,1,0,,,,,689,1,0,B2
23.6,1,76823.93,2,27688.4,3,1,0,0,0,1,0,0,0,0,0,0,1,24200,0,0,0,0,1,68965.92,0,0,0,0,1,29,3,243,44,689,1,1,B6
2.7,1,3734.81,2,3419.17,4,0,0,0,0,1,0,0,1,4116.77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137,4,161,27,655,1,0,B7
3.8,1,321.5,2,744.98,2,0,0,0,0,0,1,107.61,1,802.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,8.5,118,,,1,0,B1
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15100.31,0,1,589.94,1,1,6,6.5,78,76,729,0,1,B5
3.2,1,679.84,1,497.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15481.55,1,0,0,0,0,13,2.5,95,52,657,1,1,B4
4,1,846.98,1,1199.24,3,0,0,0,0,3,1,697.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1230.97,1,1,,,,,600,1,0,B16
1.1,1,2424.21,3,2062.65,9,1,0,0,0,0,1,18813.44,1,495.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,738,1,1,B1
4.7,1,439.73,3,1314.83,5,1,0,0,0,3,1,79748.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,7.5,122,27,604,1,1,B2
18.8,1,1861.83,2,1749.59,6,1,0,0,0,1,0,0,1,1202.88,0,0,0,0,1,7634.07,0,0,1,16146.52,0,1,457.97,1,0,37,4,108,39,624,1,1,B4
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32000,0,0,0,0,1,14843.47,0,0,0,0,0,51,6.5,107,46,644,0,0,B6
11.4,1,1643.7,2,1036.16,4,1,0,0,0,0,1,10692.64,1,455.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,3,118,47,690,1,0,B4
5.7,1,35708.02,1,6973.88,4,0,0,0,,4,1,2000.09,0,0,,,1,80000,0,0,,,0,0,0,,,,0,85,6.5,188,50,702,1,1,B14
3,1,2186.75,3,1672.21,4,0,0,0,0,0,1,16652.69,1,6712.73,0,0,0,0,0,0,0,0,0,0,0,1,938.05,2,0,58,10.5,118,66,753,1,1,B3
3.3,1,2129.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7700,0,0,0,0,0,0,0,0,0,0,0,75,6.5,144,44,672,1,0,B13
19.5,1,118.17,1,341.84,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.68,0,0,,,,,758,1,0,B9
17,1,13916.14,1,749.9,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,24831.23,1,1,0,3,0,48,3,135,55,664,1,1,B9
3.1,1,2986.36,3,3636.39,6,0,0,0,0,2,1,26333.51,1,957.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7.5,95,71,702,1,1,B4
9.4,1,3919.28,3,2852.89,5,1,0,0,0,3,1,4187.83,1,1166.17,0,0,0,0,0,0,0,0,0,0,0,1,71.43,0,0,53,7,135,65,639,1,1,B1
18.2,1,1186.18,5,4117.42,20,1,0,0,2,0,0,0,1,1911.52,0,0,1,5700,0,0,0,0,0,0,0,1,16368.45,0,1,30,5,112,20,716,1,0,B6
0.3,1,46.45,1,127.18,1,0,0,0,0,0,1,394.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.5,90,41,625,1,0,B4
0.3,1,4009.27,2,3918,2,0,0,0,0,0,0,0,1,7027.92,0,0,1,4000,0,0,0,0,0,0,0,0,0,0,1,39,10.5,101,63,674,1,1,B1
3.8,1,2888.66,1,250.61,1,0,0,0,0,0,1,3160.55,1,302.42,0,0,0,0,1,282.62,0,0,0,0,0,1,56967.77,1,1,20,9,91,31,674,1,0,B3
,1,418.56,4,3352.62,28,1,0,0,0,0,1,162,1,2698.19,1,27.26,0,0,0,0,0,0,0,0,0,1,1984.67,0,0,13,4,102,31,629,1,0,B4
9,1,3449.44,4,5982.25,9,1,0,0,0,0,1,1153.74,1,2145.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,106,70,683,1,0,B4
40.7,1,11405.28,2,3978.14,4,1,0,0,0,4,1,4137.69,0,0,0,0,0,0,0,0,0,0,1,22126.12,0,1,75.17,0,1,6,4,106,,,1,1,B13
3.9,1,25.54,1,153.04,0,0,0,0,0,0,1,0,1,255.97,1,40.39,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7,111,45,705,1,0,B4
4.5,1,4648.99,3,2276.64,5,0,0,0,0,7,1,8844.11,1,1259.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,6,143,40,606,1,1,B3
5.4,1,432.99,3,2017.84,19,1,0,0,0,3,1,6744.81,0,0,0,0,1,3200,0,0,0,0,0,0,0,1,828.95,0,0,65,8,110,56,686,1,1,B6
8.9,1,1617.82,4,12738.57,1,1,0,0,0,0,1,2453.81,1,9667.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,644,1,1,B1
,0,0,0,0,0,0,0,0,0,0,1,2238.16,1,2786.81,0,0,0,0,0,0,1,14607.43,0,0,0,0,0,0,0,51,6.5,125,38,622,1,1,B3
4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,11,100,75,694,1,0,B7
3.8,0,0,0,0,0,0,0,0,0,0,1,4956.75,1,592.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,82,,,1,0,B4
24.2,1,7865.09,2,2558.76,15,0,0,0,0,4,1,19005.02,1,21.74,3,163.07,0,0,0,0,1,0,0,0,0,1,198.93,0,0,50,10,127,32,621,1,1,B8
0.7,1,855.22,3,1772.87,2,0,0,0,0,0,1,336.62,1,2719.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3.5,131,,,1,0,B17
,1,9018.66,4,5064.99,17,1,0,0,,5,0,0,0,0,,,0,0,0,0,,,0,0,0,,,,0,8,5.5,110,71,716,1,0,B15
1.3,1,9199.96,3,15530.45,5,0,0,0,0,1,1,5051.22,1,382.32,5,264.43,0,0,0,0,0,0,0,0,0,1,26.91,1,0,9,4,102,57,639,1,1,B5
3.3,1,118.81,3,732.04,3,0,0,0,0,0,1,274.59,1,1027.64,1,13.89,0,0,0,0,0,0,0,0,0,1,225.36,0,0,52,6,118,62,669,1,1,B6
0.3,1,181.64,4,1048,2,0,0,0,2,1,1,40.06,1,1403.1,1,43.87,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8.5,105,60,662,1,0,B12
0.5,1,4471.97,2,877.19,1,0,0,0,0,5,1,4926.41,1,646.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5.5,100,71,693,1,1,B5
4.7,1,126.52,1,1403.04,0,0,0,0,0,0,1,1382.02,1,698.46,0,0,1,2400,0,0,0,0,0,0,0,0,0,0,0,40,9,105,40,698,1,0,B1
1.9,0,0,0,0,0,0,0,0,0,0,1,5507.5,1,5190.26,0,0,1,12800,0,0,0,0,0,0,0,1,0,1,0,41,6.5,104,68,707,1,1,B6
4.2,1,534.11,3,993.4,7,0,1,16.09,1,4,1,8.98,1,285.99,1,135.52,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4.5,114,58,698,1,0,B1
4.2,1,2000.68,3,2102.95,14,1,0,0,1,2,1,73167.24,1,225.31,0,0,0,0,0,0,0,0,0,0,0,1,288.24,0,1,27,5.5,95,53,706,1,1,B5
3.1,1,1014.34,2,567.4,2,0,0,0,0,5,1,0.72,1,190.52,4,74,1,3700,0,0,0,0,1,16007.94,1,1,1264.28,2,0,40,11,108,52,685,1,1,B4
2.6,1,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,118,39,581,1,0,B1
1.1,1,2030.48,2,1001.05,0,0,0,0,0,2,0,0,1,2102.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3.5,100,48,681,1,0,B4
2.9,1,1207.04,2,1457.41,2,0,0,0,0,0,1,5476.09,1,2379.64,12,219.45,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,112,47,704,1,1,B16
4.6,1,1093.24,1,839.39,2,0,0,0,0,1,0,0,1,233.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,91,49,675,1,0,B2
2.8,1,266.22,3,1540.05,10,0,0,0,1,3,1,117.61,1,1597.17,1,80.06,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,84,47,661,1,1,B6
0.6,1,3432.17,1,1938.38,2,1,0,0,,0,1,1532.57,1,1159.07,,,0,0,0,0,,,0,0,0,,,,0,83,4.5,144,29,586,1,1,B19
8.3,1,560.74,2,1392.86,9,0,0,0,0,0,1,14576.49,1,584.22,0,0,0,0,0,0,0,0,0,0,0,1,287.53,1,0,7,9.5,83,48,607,1,1,B3
3.5,1,850.82,2,560.09,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11.5,93,48,655,1,0,B8
4.1,1,15920.69,2,4705.56,6,0,0,0,1,0,0,0,1,5494.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,9.5,171,65,673,1,0,B3
3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,740,1,1,B5
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3989.33,0,0,25,4.5,93,53,722,1,0,B1
1.3,1,4242.29,2,5334.92,10,0,0,0,,11,1,516.41,0,0,,,0,0,0,0,,,0,0,0,,,,0,46,3,121,43,588,1,1,B15
5.7,1,9921.21,2,5526.33,14,1,0,0,0,2,1,10112.75,1,169.49,0,0,0,0,0,0,0,0,0,0,0,1,413.42,0,0,77,10,135,30,632,1,0,B16
,1,35.85,2,1363.39,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1974.11,0,0,30,13,89,45,687,1,0,B3
2.2,1,2901.97,1,1647.07,2,0,0,0,0,1,1,13354.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.4,1,0,29,7,113,42,719,1,1,B17
6.3,1,17481.33,1,16497.67,2,0,0,0,0,1,1,11783.27,0,0,0,0,1,4900,0,0,0,0,0,0,0,1,0,1,0,39,3.5,143,31,651,1,1,B4
0.7,1,1051.48,2,2538.5,2,0,0,0,0,4,1,14618.61,1,28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,679,1,0,B4
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,5.5,97,39,645,0,0,B4
0.9,1,39.77,2,405.05,0,1,1,7.35,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,,,,0,45,10.5,117,66,675,1,0,B14
4.5,1,1771.79,2,3980.11,18,0,0,0,2,1,1,2088.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5.5,134,38,680,1,0,B4
3.2,1,321.49,1,565.09,0,0,0,0,0,1,0,0,1,237.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4.5,116,57,726,1,0,B5
4,1,946.01,2,4283.9,5,0,0,0,0,2,1,9312.16,1,7904.19,0,0,1,8000,1,5375.67,0,0,0,0,0,1,0,0,0,40,7,111,56,630,1,1,B1
0.8,1,101.21,2,608.65,3,0,1,22.21,0,3,1,564.79,1,181.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2.5,122,,,1,0,B2
3.6,1,1145.21,2,2008.2,16,1,0,0,0,2,1,1525.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7,117,28,570,1,0,B4
0.7,1,391.17,2,3720.16,5,0,0,0,1,2,1,5391.07,1,2616.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,103,49,656,1,0,B4
1.5,1,406.23,2,1518.3,2,0,1,8.77,0,0,1,0.04,1,2365.59,4,184.83,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,639,1,0,B4
22.1,1,808.65,1,558.05,3,0,0,0,0,1,1,17648.85,0,0,0,0,1,76000,0,0,0,0,0,0,0,0,0,0,0,25,4,92,68,659,1,1,B4
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1080.6,0,0,36,9,105,55,697,1,1,B8
9.2,1,770.59,3,2196.69,39,0,1,26.01,0,0,0,0,1,1724.2,3,152.72,0,0,0,0,0,0,0,0,0,1,4420.92,1,1,16,5,104,25,651,1,0,B4
4.3,0,0,0,0,0,0,0,0,0,0,1,670.07,1,1953.77,0,0,0,0,1,1631.36,1,3062.13,0,0,0,1,207,1,0,,,,,,1,0,B12
1.4,1,256.56,5,1623.53,3,1,0,0,2,6,0,0,1,291.03,5,116.38,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,105,38,663,1,0,B3
3.4,1,565.92,3,5063.83,4,0,0,0,0,6,1,40342.75,1,348.39,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,707,1,1,B5
10.8,1,1245.88,2,2388.54,5,0,0,0,0,0,1,1659.66,1,3059.44,0,0,0,0,0,0,0,0,0,0,0,1,28.23,1,0,39,5,133,32,721,1,0,B1
12.8,1,86.39,1,786.36,4,1,0,0,0,3,0,0,0,0,0,0,1,8900,0,0,0,0,0,0,0,0,0,0,0,45,9,112,30,611,1,0,B7
3.8,0,0,0,0,0,0,0,0,,0,1,390.54,1,2217.68,,,1,2200,1,1178.03,,,0,0,0,,,,0,95,6,141,27,653,1,0,B15
20.2,1,1834.93,2,680.64,5,1,0,0,0,3,0,0,0,0,0,0,1,300,0,0,0,0,0,0,0,1,0,0,0,55,6,117,71,768,1,1,B8
15.9,1,1488.11,2,1888,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.15,0,0,,,,,709,1,0,B4
0.5,1,4244.86,2,6592.39,15,0,0,0,0,1,1,1718.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,10,105,60,676,1,0,B4
